INSTNM,STABBR,LATITUDE,LONGITUDE,LOCALE,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4,COUNT_WNE_3YR,COUNT_NWNE_3YR,EMPLOYMENT RATE,Rank_Tuition,Rank_Grad_Rate,Rank_Employment_Rate,Tuition_Avg
University of Alaska Southeast,AK,58.384845999999996,-134.63825500000002,33.0,7092.0,19856.0,0.3557,222.0,19.0,0.921161825726141,0.30528476141611083,0.7667248400232693,0.7717520858164482,13474.0
Alaska Pacific University,AK,61.190968000000005,-149.804168,11.0,20760.0,20760.0,0.5556,80.0,8.0,0.9090909090909091,0.5443817342226783,0.44968004653868526,0.8307508939213349,20760.0
Charter College,WA,45.617798,-122.494766,12.0,22655.0,22655.0,0.501,2447.0,278.0,0.8979816513761468,0.5767060030785018,0.5381035485747527,0.8688915375446961,22655.0
CollegeAmerica-Flagstaff,AZ,35.194495,-111.657673,13.0,16972.0,16972.0,0.297,362.0,48.0,0.8829268292682927,0.4335556695741406,0.8429319371727748,0.9016686531585221,16972.0
Brookline College-Phoenix,AZ,33.566102,-112.112473,11.0,,,0.4675,1638.0,184.0,0.8990120746432492,,0.5974403723094822,0.864719904648391,
Arizona State University-Tempe,AZ,33.417721,-111.93438300000001,12.0,10822.0,28336.0,0.6904,13792.0,962.0,0.9347973430933983,0.521806054386865,0.2268760907504363,0.6752085816448152,19579.0
University of Arizona,AZ,32.232671999999994,-110.95081499999999,11.0,12467.0,36366.0,0.6448,5082.0,287.0,0.9465449804432855,0.6080041046690611,0.28970331588132636,0.5387365911799762,24416.5
Southwest University of Visual Arts-Tucson,AZ,32.252879,-110.92726499999999,11.0,23069.0,23069.0,0.8333,132.0,13.0,0.9103448275862069,0.5879938429964084,0.08027923211169284,0.8259833134684148,23069.0
Embry-Riddle Aeronautical University-Prescott,AZ,34.616766,-112.44974099999999,41.0,35654.0,35654.0,0.6542,1767.0,59.0,0.9676889375684556,0.8009235505387378,0.2774869109947644,0.20381406436233612,35654.0
Grand Canyon University,AZ,33.513231,-112.129929,11.0,17050.0,17050.0,0.368,8941.0,452.0,0.9518790588736293,0.4366341713699333,0.7504363001745201,0.4612634088200238,17050.0
Dine College,AZ,36.293328,-109.21683999999999,43.0,1410.0,1410.0,0.1684,99.0,18.0,0.8461538461538461,0.0015392508978963571,0.9581151832460733,0.9398092967818832,1410.0
Northern Arizona University,AZ,35.188449,-111.653724,13.0,11564.0,25828.0,0.5245,5185.0,293.0,0.9465133260313984,0.5017957927142124,0.5008726003490401,0.5399284862932062,18696.0
Ottawa University-Phoenix,AZ,33.572173,-112.113001,11.0,,,,399.0,21.0,0.95,,,0.48867699642431467,
Pima Medical Institute-Tucson,AZ,32.248067,-110.87878300000001,11.0,,,0.6977,9719.0,851.0,0.9194891201513719,,0.2152414194299011,0.7818831942789034,
Prescott College,AZ,34.5452,-112.477185,13.0,31485.0,31485.0,0.3906,74.0,7.0,0.9135802469135802,0.7306310928681375,0.7190226876090751,0.8134684147794994,31485.0
Arizona Christian University,AZ,33.622952000000005,-112.181776,21.0,26796.0,26796.0,0.4512,94.0,7.0,0.9306930693069307,0.6444330425859415,0.6276905177428738,0.7079856972586412,26796.0
University of Arkansas at Little Rock,AR,34.723254,-92.33977800000001,12.0,9544.0,21754.0,0.3945,1534.0,101.0,0.9382262996941896,0.3889173935351462,0.7120418848167539,0.6418355184743743,15649.0
University of Arkansas for Medical Sciences,AR,34.749047999999995,-92.32004599999999,12.0,,,,587.0,19.0,0.9686468646864687,,,0.19129916567342073,
Arkansas Baptist College,AR,34.734751,-92.290555,12.0,8760.0,8760.0,0.2016,34.0,4.0,0.8947368421052632,0.12314007183170857,0.9342641070389761,0.8784266984505363,8760.0
Lyon College,AR,35.777619,-91.625354,33.0,28790.0,28790.0,0.4906,100.0,7.0,0.9345794392523364,0.6829143150333504,0.5538103548574753,0.6781883194278904,28790.0
University of Arkansas,AR,36.070009000000006,-94.17698100000001,13.0,9130.0,25168.0,0.6553,3254.0,148.0,0.956496178718401,0.43868650590046177,0.2757417102966841,0.3909415971394517,17149.0
University of Arkansas at Pine Bluff,AR,34.244031,-92.018683,13.0,8038.0,14398.0,0.2883,435.0,24.0,0.9477124183006536,0.1995895330938943,0.8574752763234439,0.5226460071513707,11218.0
Arkansas State University-Main Campus,AR,35.842388,-90.679988,13.0,8607.0,15297.0,0.4822,2374.0,98.0,0.9603559870550162,0.22729604925602873,0.568935427574171,0.33075089392133494,11952.0
Arkansas Tech University,AR,35.293237,-93.13561999999999,33.0,7254.0,12678.0,0.4069,1815.0,145.0,0.9260204081632653,0.15084658799384298,0.6934264107038977,0.7437425506555423,9966.0
University of Arkansas at Monticello,AR,33.590909,-91.811153,33.0,7462.0,13312.0,0.2552,640.0,66.0,0.9065155807365439,0.16623909697280656,0.8883071553228621,0.8384982121573301,10387.0
University of Central Arkansas,AR,35.077945,-92.457672,13.0,8752.0,15275.0,0.4113,1362.0,65.0,0.9544498948843728,0.23037455105182145,0.689936009307737,0.4201430274135876,12013.5
Central Baptist College,AR,35.083838,-92.445021,13.0,16200.0,16200.0,0.3365,87.0,9.0,0.90625,0.40841457157516675,0.7975567190226877,0.8390941597139452,16200.0
Crowley's Ridge College,AR,36.064845,-90.584395,41.0,13600.0,13600.0,0.4444,18.0,1.0,0.9473684210526315,0.3134940995382247,0.6404886561954625,0.5274135876042908,13600.0
Harding University,AR,35.247386,-91.72614300000001,32.0,19845.0,19845.0,0.6719,804.0,26.0,0.9686746987951808,0.5264238070805541,0.24956369982547993,0.1901072705601907,19845.0
Henderson State University,AR,34.128155,-93.059703,32.0,8530.0,10180.0,0.3476,435.0,24.0,0.9477124183006536,0.1349409953822473,0.7806864456079116,0.5226460071513707,9355.0
Hendrix College,AR,35.101565,-92.443256,13.0,45790.0,45790.0,0.7073,153.0,12.0,0.9272727272727272,0.913801949717804,0.2036067481093659,0.7359952324195471,45790.0
John Brown University,AR,36.189811999999996,-94.560283,32.0,26928.0,26928.0,0.6572,476.0,31.0,0.9388560157790927,0.6475115443817342,0.27225130890052357,0.633492252681764,26928.0
