INSTNM,STABBR,LATITUDE,LONGITUDE,LOCALE,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4,COUNT_WNE_3YR,COUNT_NWNE_3YR,EMPLOYMENT RATE,Rank_Tuition,Rank_Grad_Rate,Rank_Employment_Rate,Tuition_Avg
University of Northern Iowa,IA,42.514922999999996,-92.459703,13.0,8938.0,19480.0,0.6547,2582.0,70.0,0.973604826546003,0.33863519753719856,0.27690517742873766,0.12514898688915377,14209.0
Northwestern College,IA,42.999007,-96.05877199999999,32.0,31100.0,31100.0,0.6854,286.0,9.0,0.9694915254237289,0.72396100564392,0.2315299592786504,0.17759237187127533,31100.0
Palmer College of Chiropractic,IA,41.529021,-90.574607,12.0,9225.0,9225.0,0.6667,12.0,2.0,0.8571428571428571,0.13237557721908672,0.2559627690517743,0.933253873659118,9225.0
Saint Ambrose University,IA,41.54065,-90.579854,12.0,30894.0,30894.0,0.6707,736.0,18.0,0.9761273209549072,0.719856336582863,0.25189063408958695,0.09654350417163289,30894.0
St Luke's College,IA,42.520081,-96.404724,13.0,20440.0,20440.0,0.5714,122.0,3.0,0.976,0.5382247306310929,0.4246655031995346,0.09713945172824791,20440.0
Simpson College,IA,41.365503000000004,-93.56347099999999,31.0,39144.0,39144.0,0.6961,484.0,9.0,0.9817444219066938,0.8445356593124679,0.2181500872600349,0.043504171632896306,39144.0
Upper Iowa University,IA,42.838283000000004,-91.799543,43.0,30450.0,30450.0,0.4308,1154.0,37.0,0.9689336691855583,0.7142124166239097,0.6596858638743456,0.1865315852205006,30450.0
Waldorf University,IA,43.262923,-93.64171400000001,33.0,22076.0,22076.0,0.2857,286.0,8.0,0.9727891156462585,0.5638789122626988,0.8609656777196044,0.133492252681764,22076.0
Wartburg College,IA,42.7277,-92.483387,32.0,41280.0,41280.0,0.6743,370.0,12.0,0.9685863874345549,0.8686505900461775,0.24490983129726585,0.19249106078665076,41280.0
William Penn University,IA,41.310111,-92.647095,33.0,25600.0,25600.0,0.3504,351.0,13.0,0.9642857142857143,0.6269881990764494,0.7742873763816173,0.2634088200238379,25600.0
Baker University,KS,38.777278,-95.188231,31.0,29830.0,29830.0,0.5891,664.0,27.0,0.9609261939218524,0.6998460749102103,0.3845258871436882,0.3206197854588796,29830.0
Benedictine College,KS,39.572646,-95.111473,32.0,29530.0,29530.0,0.5975,350.0,23.0,0.938337801608579,0.6952283222165213,0.36765561372891215,0.6406436233611442,29530.0
Bethany College,KS,38.580597999999995,-97.67367,33.0,27850.0,27850.0,0.2901,136.0,5.0,0.9645390070921985,0.6639302206259621,0.8539848749272833,0.25685339690107273,27850.0
Bethel College-North Newton,KS,38.075169,-97.34325600000001,32.0,28540.0,28540.0,0.5248,102.0,4.0,0.9622641509433962,0.676757311441765,0.5002908667830134,0.3033373063170441,28540.0
Central Christian College of Kansas,KS,38.357978,-97.66859699999999,33.0,20350.0,20350.0,0.3694,150.0,8.0,0.9493670886075949,0.5356593124679323,0.7469458987783595,0.5005959475566151,20350.0
Donnelly College,KS,39.112256,-94.650677,12.0,7260.0,7260.0,0.1892,69.0,5.0,0.9324324324324325,0.0887634684453566,0.9429901105293775,0.6936829558998808,7260.0
Emporia State University,KS,38.414784000000004,-96.17902099999999,33.0,6758.0,20675.0,0.4526,734.0,27.0,0.9645203679369251,0.3211903540277065,0.6242001163467132,0.2586412395709178,13716.5
Fort Hays State University,KS,38.872156,-99.34250300000001,33.0,5130.0,15210.0,0.4355,1688.0,74.0,0.9580022701475596,0.15751667521806054,0.6538685282140779,0.36829558998808104,10170.0
Barclay College,KS,37.62012,-99.105351,43.0,19000.0,19000.0,0.425,35.0,6.0,0.8536585365853658,0.5079527963057978,0.670738801628854,0.9356376638855781,19000.0
Friends University,KS,37.678459000000004,-97.367048,11.0,28415.0,28415.0,0.3886,151.0,8.0,0.949685534591195,0.6731657260133401,0.7219313554392088,0.4940405244338498,28415.0
Haskell Indian Nations University,KS,38.938834,-95.232879,13.0,480.0,480.0,0.4518,94.0,11.0,0.8952380952380953,0.000513083632632119,0.6259453170447935,0.8772348033373063,480.0
Hesston College,KS,38.134558,-97.433883,32.0,26900.0,26900.0,0.5238,121.0,2.0,0.983739837398374,0.6459722934838379,0.5014543339150669,0.029201430274135878,26900.0
Concorde Career College-Kansas City,MO,39.06799,-94.58981899999999,11.0,,,0.6374,1294.0,111.0,0.9209964412811388,,0.3030831878999418,0.7735399284862932,
Kansas Christian College,KS,38.994848,-94.666878,12.0,7690.0,7690.0,0.0,,,,0.10056439199589533,1.0,,7690.0
University of Kansas,KS,38.958549,-95.247567,13.0,11148.0,27358.0,0.6478,3141.0,144.0,0.9561643835616438,0.5135967162647511,0.2850494473531123,0.3951132300357569,19253.0
Newman University,KS,37.672643,-97.37768,11.0,30750.0,30750.0,0.5397,363.0,16.0,0.9577836411609498,0.7172909184197024,0.47760325770796974,0.37246722288438616,30750.0
Kansas State University,KS,39.188648,-96.58107700000001,13.0,10383.0,25887.0,0.6397,3573.0,132.0,0.9643724696356275,0.4822986146741919,0.297847585805701,0.2622169249106079,18135.0
Kansas Wesleyan University,KS,38.813795,-97.607973,33.0,29500.0,29500.0,0.3741,186.0,3.0,0.9841269841269841,0.6947152385838892,0.7405468295520652,0.028605482717520857,29500.0
Manhattan Christian College,KS,39.184806,-96.57938299999999,13.0,16260.0,16260.0,0.6974,32.0,3.0,0.9142857142857143,0.4099538224730631,0.21582315299592786,0.8092967818831943,16260.0
McPherson College,KS,38.371421999999995,-97.642996,33.0,28951.0,28951.0,0.3657,119.0,3.0,0.9754098360655737,0.685479733196511,0.7545084351367074,0.10369487485101311,28951.0
MidAmerica Nazarene University,KS,38.875615,-94.781635,21.0,29736.0,29736.0,0.42,513.0,13.0,0.9752851711026616,0.698306824012314,0.680628272251309,0.1066746126340882,29736.0
Ottawa University-Ottawa,KS,38.603173,-95.26418699999999,32.0,30050.0,30050.0,0.4459,399.0,21.0,0.95,0.7044638276038995,0.6375799883653287,0.48867699642431467,30050.0
Ottawa University-Kansas City,KS,38.932055,-94.63546099999999,12.0,,,,399.0,21.0,0.95,,,0.48867699642431467,
Pittsburg State University,KS,37.392071,-94.702473,32.0,7298.0,18642.0,0.5301,1380.0,44.0,0.9691011235955056,0.2744997434581837,0.491564863292612,0.18414779499404052,12970.0
University of Saint Mary,KS,39.279396000000006,-94.906743,31.0,28810.0,28810.0,0.5517,262.0,10.0,0.9632352941176471,0.6834273986659826,0.4566608493310064,0.28128724672228844,28810.0
Southwestern College,KS,37.248608000000004,-96.97540500000001,32.0,30150.0,30150.0,0.4762,333.0,9.0,0.9736842105263158,0.7060030785017958,0.5805700988947062,0.1233611442193087,30150.0
Sterling College,KS,38.219937,-98.20864399999999,42.0,26000.0,26000.0,0.5324,102.0,3.0,0.9714285714285714,0.6316059517701386,0.4857475276323444,0.15554231227651966,26000.0
Tabor College,KS,38.348606,-97.200949,33.0,28260.0,28260.0,0.4214,164.0,6.0,0.9647058823529412,0.6706003078501795,0.6777196044211751,0.2550655542312277,28260.0
Washburn University,KS,39.033778000000005,-95.70222199999999,12.0,8312.0,18560.0,0.4421,1495.0,65.0,0.9583333333333334,0.30169317598768597,0.6457242582897034,0.36174016686531585,13436.0
Wichita State University,KS,37.718882,-97.292361,11.0,8270.0,17452.0,0.4703,1989.0,102.0,0.9512195121951219,0.2652642380708055,0.5910413030831879,0.4684147794994041,12861.0
Alice Lloyd College,KY,37.335087,-82.875068,43.0,11550.0,11550.0,0.7005,92.0,3.0,0.968421052631579,0.2129297075423294,0.2123327515997673,0.19487485101311083,11550.0
Asbury University,KY,37.862029,-84.66260600000001,31.0,30198.0,30198.0,0.6211,290.0,30.0,0.90625,0.7080554130323242,0.33158813263525305,0.8390941597139452,30198.0
Bellarmine University,KY,38.219279,-85.70499699999999,11.0,42200.0,42200.0,0.6733,577.0,23.0,0.9616666666666667,0.87891226269882,0.24665503199534614,0.3098927294398093,42200.0
Berea College,KY,37.57202,-84.292893,32.0,39990.0,39990.0,0.6282,392.0,27.0,0.9355608591885441,0.8568496664956388,0.32111692844677137,0.6698450536352801,39990.0
Brescia University,KY,37.769040999999994,-87.111639,13.0,22100.0,22100.0,0.35,117.0,10.0,0.9212598425196851,0.5649050795279631,0.7754508435136708,0.7705601907032181,22100.0
Campbellsville University,KY,37.343342,-85.348943,32.0,25400.0,25400.0,0.4014,350.0,28.0,0.9259259259259259,0.6244227809132888,0.7009889470622455,0.7443384982121574,25400.0
Centre College,KY,37.645709000000004,-84.779392,32.0,41700.0,41700.0,0.812,219.0,12.0,0.948051948051948,0.8737814263724987,0.0983129726585224,0.5184743742550656,41700.0
Clear Creek Baptist Bible College,KY,36.725235999999995,-83.72770200000001,42.0,9440.0,9440.0,0.2,28.0,4.0,0.875,0.13699332991277577,0.9360093077370564,0.9159713945172825,9440.0
Galen College of Nursing-Louisville,KY,38.277004999999996,-85.695972,11.0,,,0.5945,1747.0,63.0,0.9651933701657458,,0.37463641652123325,0.24851013110846246,
University of the Cumberlands,KY,36.737048,-84.16164599999999,33.0,23000.0,23000.0,0.3268,506.0,26.0,0.9511278195488722,0.5854284248332479,0.806282722513089,0.47020262216924913,23000.0
Eastern Kentucky University,KY,37.740845,-84.30079599999999,32.0,9666.0,19444.0,0.4678,2809.0,140.0,0.9525262800949474,0.35197537198563367,0.5968586387434555,0.44934445768772346,14555.0
Georgetown College,KY,38.207615000000004,-84.55376700000001,31.0,38650.0,38650.0,0.5847,191.0,11.0,0.9455445544554455,0.8378655720882504,0.39674229203025013,0.5518474374255066,38650.0
American National University-Lexington,KY,38.026996000000004,-84.421099,11.0,17361.0,17361.0,0.3662,511.0,82.0,0.8617200674536256,0.44894817855310415,0.7539267015706806,0.9290822407628129,17361.0
Kentucky Mountain Bible College,KY,37.603443,-83.438765,42.0,9460.0,9460.0,0.3158,13.0,1.0,0.9285714285714286,0.13801949717804002,0.8219895287958116,0.7252681764004768,9460.0
Kentucky State University,KY,38.201427,-84.855402,32.0,8090.0,19390.0,0.1798,308.0,15.0,0.9535603715170279,0.3227296049256029,0.954043048283886,0.433849821215733,13740.0
Kentucky Wesleyan College,KY,37.744489,-87.119658,13.0,26160.0,26160.0,0.4204,145.0,8.0,0.9477124183006536,0.6346844535659313,0.6800465386852821,0.5226460071513707,26160.0
University of Kentucky,KY,38.038911,-84.504747,11.0,12245.0,29099.0,0.6616,3415.0,133.0,0.9625140924464487,0.5423293996921498,0.26527050610820246,0.29797377830750893,20672.0
Kentucky Christian University,KY,38.338805,-82.945561,32.0,19256.0,19256.0,0.3354,69.0,5.0,0.9324324324324325,0.5141097998973833,0.7987201861547412,0.6936829558998808,19256.0
Lindsey Wilson College,KY,37.101502,-85.29999699999999,33.0,24850.0,24850.0,0.3726,431.0,19.0,0.9577777777777777,0.6141611082606465,0.743455497382199,0.3730631704410012,24850.0
University of Louisville,KY,38.216862,-85.760412,11.0,11656.0,27278.0,0.5654,2795.0,112.0,0.9614723082215342,0.5192406362237044,0.4351367073880163,0.31525625744934443,19467.0
Midway University,KY,38.146126,-84.67814200000001,42.0,24750.0,24750.0,0.3673,311.0,23.0,0.9311377245508982,0.6115956900974859,0.7521815008726004,0.7050059594755661,24750.0
Morehead State University,KY,38.186768,-83.434021,33.0,9070.0,13546.0,0.4458,1438.0,76.0,0.9498018494055482,0.20266803488968702,0.6381617219313555,0.49165673420738976,11308.0
Murray State University,KY,36.612419,-88.323629,33.0,9084.0,24540.0,0.5547,1419.0,77.0,0.9485294117647058,0.4289379168804515,0.45200698080279234,0.5119189511323003,16812.0
Northern Kentucky University,KY,39.029714,-84.463483,21.0,10032.0,19680.0,0.4248,2457.0,119.0,0.9538043478260869,0.3632632119035403,0.6713205351948808,0.43146603098927294,14856.0
University of Pikeville,KY,37.479232,-82.521063,33.0,20950.0,20950.0,0.2943,218.0,14.0,0.9396551724137931,0.5469471523858389,0.8458406050029087,0.6263408820023838,20950.0
The Southern Baptist Theological Seminary,KY,38.248216,-85.687649,11.0,20433.0,20433.0,0.4937,130.0,4.0,0.9701492537313433,0.5371985633658286,0.5474112856311809,0.16805721096543505,20433.0
Spalding University,KY,38.242407,-85.757725,11.0,24500.0,24500.0,0.386,323.0,16.0,0.9528023598820059,0.6095433555669574,0.7260034904013961,0.4445768772348033,24500.0
Sullivan University,KY,38.212824,-85.670489,11.0,12870.0,12870.0,0.292,1541.0,105.0,0.9362089914945322,0.2662904053360698,0.8504944735311227,0.6626936829558999,12870.0
Thomas More University,KY,39.022963,-84.568923,21.0,31200.0,31200.0,0.4828,253.0,5.0,0.9806201550387597,0.7260133401744484,0.5677719604421175,0.04886769964243146,31200.0
Transylvania University,KY,38.052983000000005,-84.493202,11.0,38750.0,38750.0,0.7545,172.0,11.0,0.9398907103825137,0.8394048229861467,0.1460151250727167,0.6227651966626937,38750.0
Union College,KY,36.870875,-83.88847700000001,33.0,27140.0,27140.0,0.267,,,,0.651103129810159,0.8801628853984875,,27140.0
Western Kentucky University,KY,36.985034999999996,-86.456828,13.0,10512.0,26280.0,0.4456,2975.0,164.0,0.947754061803122,0.49153412006157005,0.6387434554973822,0.5220500595947557,18396.0
Centenary College of Louisiana,LA,32.483335,-93.730834,12.0,36580.0,36580.0,0.6013,98.0,11.0,0.8990825688073395,0.8137506413545408,0.3612565445026178,0.8641239570917759,36580.0
Dillard University,LA,29.996586999999998,-90.06464,11.0,17918.0,17918.0,0.4198,225.0,14.0,0.9414225941422594,0.4751154438173422,0.6812100058173357,0.6042908224076281,17918.0
Grambling State University,LA,32.523796999999995,-92.713245,32.0,7435.0,16458.0,0.3298,580.0,27.0,0.9555189456342669,0.22678296562339662,0.8033740546829552,0.4064362336114422,11946.5
Louisiana State University Health Sciences Center-New Orleans,LA,29.957271999999996,-90.083145,11.0,,,,425.0,9.0,0.9792626728110599,,,0.05959475566150179,
Louisiana State University-Alexandria,LA,31.178615999999998,-92.41440899999999,41.0,6668.0,14024.0,0.2965,316.0,29.0,0.9159420289855073,0.1646998460749102,0.8440954043048284,0.8009535160905841,10346.0
Louisiana State University and Agricultural & Mechanical College,LA,30.414986,-91.178921,12.0,11950.0,28627.0,0.6657,3350.0,168.0,0.9522455940875497,0.5336069779374037,0.25770796974985455,0.4535160905840286,20288.5
Louisiana State University-Shreveport,LA,32.428465,-93.70561,12.0,7327.0,20481.0,0.3252,455.0,21.0,0.9558823529411765,0.3283735248845562,0.8086096567771961,0.40166865315852207,13904.0
Louisiana College,LA,31.324528000000004,-92.425973,23.0,17000.0,17000.0,0.2955,231.0,9.0,0.9625,0.4345818368394048,0.8452588714368819,0.29856972586412395,17000.0
Louisiana Tech University,LA,32.528296999999995,-92.649963,32.0,9645.0,18558.0,0.5363,1095.0,54.0,0.9530026109660574,0.3350436121087737,0.47934845840605,0.4427890345649583,14101.5
Loyola University New Orleans,LA,29.936140999999996,-90.120417,11.0,39942.0,39942.0,0.6104,522.0,46.0,0.9190140845070423,0.8553104155977425,0.34438627108784176,0.7848629320619785,39942.0
McNeese State University,LA,30.178187,-93.21722199999999,13.0,7860.0,15898.0,0.4517,1212.0,56.0,0.9558359621451105,0.22319138019497178,0.6265270506108203,0.4022646007151371,11879.0
University of New Orleans,LA,30.027703999999996,-90.067142,11.0,8771.0,13607.0,0.3683,1437.0,104.0,0.9325113562621674,0.19805028219599793,0.7492728330424665,0.6930870083432658,11189.0
Nicholls State University,LA,29.794486,-90.801571,13.0,7952.0,9045.0,0.4502,1081.0,74.0,0.935930735930736,0.11698306824012314,0.6300174520069808,0.666865315852205,8498.5
University of Louisiana at Monroe,LA,32.527747999999995,-92.07374,13.0,8554.0,20654.0,0.4375,986.0,52.0,0.9499036608863198,0.35351462288353,0.6503781268179174,0.4898688915375447,14604.0
Northwestern State University of Louisiana,LA,31.750666,-93.097797,33.0,7922.0,18710.0,0.446,1337.0,70.0,0.9502487562189055,0.2919445869676757,0.6369982547993019,0.4821215733015495,13316.0
University of Holy Cross,LA,29.912003000000002,-89.99445,11.0,14180.0,14180.0,0.4921,156.0,9.0,0.9454545454545454,0.3370959466393022,0.5509016870273414,0.5536352800953516,14180.0
Franciscan Missionaries of Our Lady University,LA,30.401379,-91.110587,12.0,13287.0,13287.0,0.3505,383.0,11.0,0.9720812182741116,0.28937916880451514,0.7737056428155905,0.14123957091775924,13287.0
Saint Joseph Seminary College,LA,30.526778000000004,-90.113621,41.0,18230.0,18230.0,0.5,9.0,3.0,0.75,0.48486403283735247,0.5386852821407795,0.9630512514898689,18230.0
Southeastern Louisiana University,LA,30.514652,-90.468676,13.0,8165.0,20643.0,0.3959,2060.0,116.0,0.9466911764705882,0.34889687018984095,0.7097149505526469,0.535756853396901,14404.0
Southern University and A & M College,LA,30.524558000000003,-91.190105,12.0,9122.0,16472.0,0.3042,849.0,35.0,0.9604072398190046,0.26115956900974857,0.835369400814427,0.3295589988081049,12797.0
Southern University at New Orleans,LA,30.026162,-90.044912,11.0,7033.0,15934.0,0.25,322.0,35.0,0.9019607843137255,0.21087737301180093,0.8923792902850495,0.8557806912991657,11483.5
University of Louisiana at Lafayette,LA,30.212190999999997,-92.020165,12.0,9912.0,23640.0,0.4821,2184.0,121.0,0.9475054229934924,0.42739866598255516,0.5695171611401978,0.5256257449344458,16776.0
Tulane University of Louisiana,LA,29.940069,-90.12214399999999,11.0,54820.0,54820.0,0.8536,1181.0,78.0,0.938046068308181,0.9810159055926116,0.06399069226294357,0.6436233611442194,54820.0
Xavier University of Louisiana,LA,29.964161999999998,-90.10730699999999,11.0,24348.0,24348.0,0.4932,239.0,7.0,0.9715447154471545,0.6074910210364289,0.5485747527632344,0.15196662693682955,24348.0
College of the Atlantic,ME,44.395258,-68.221517,33.0,43542.0,43542.0,0.6667,73.0,5.0,0.9358974358974359,0.8917393535146229,0.2559627690517743,0.6674612634088201,43542.0
Bates College,ME,44.105299,-70.203333,13.0,53794.0,53794.0,0.8924,251.0,16.0,0.9400749063670412,0.9697280656747049,0.03781268179173938,0.6197854588796186,53794.0
Bowdoin College,ME,43.907134,-69.963942,31.0,53922.0,53922.0,0.9492,258.0,20.0,0.9280575539568345,0.9717804002052335,0.009307737056428156,0.7300357568533969,53922.0
Colby College,ME,44.564211,-69.66337,33.0,55210.0,55210.0,0.9049,228.0,10.0,0.957983193277311,0.9856336582863007,0.03257707969749855,0.36889153754469606,55210.0
University of Maine at Augusta,ME,44.337746,-69.796396,32.0,7988.0,17918.0,0.1755,674.0,45.0,0.9374130737134909,0.27244740892765523,0.9552065154159395,0.6489868891537545,12953.0
University of Maine at Farmington,ME,44.666911,-70.147121,33.0,9118.0,18598.0,0.5214,439.0,13.0,0.9712389380530974,0.3258081067213956,0.5072716695753345,0.1573301549463647,13858.0
University of Maine at Fort Kent,ME,47.250389,-68.58931899999999,43.0,8115.0,12315.0,0.4571,168.0,9.0,0.9491525423728814,0.159569009748589,0.6189645142524723,0.5035756853396901,10215.0
University of Maine at Machias,ME,44.708803,-67.458025,43.0,7830.0,15100.0,0.2937,83.0,7.0,0.9222222222222223,0.20933812211390457,0.847585805700989,0.7640047675804529,11465.0
University of Maine,ME,44.899257,-68.669332,23.0,11170.0,30970.0,0.6027,1849.0,68.0,0.96452790818988,0.5484864032837352,0.35951134380453753,0.25804529201430276,21070.0
Maine Maritime Academy,ME,44.389654,-68.80434699999999,42.0,13478.0,27098.0,0.7574,271.0,9.0,0.9678571428571429,0.5330938943047717,0.1431064572425829,0.20143027413587605,20288.0
University of Maine at Presque Isle,ME,46.672284999999995,-68.016343,41.0,8035.0,12235.0,0.3488,198.0,12.0,0.9428571428571428,0.15546434068753207,0.777196044211751,0.5798569725864124,10135.0
University of New England,ME,43.458591,-70.38535,22.0,37620.0,37620.0,0.625,236.0,6.0,0.9752066115702479,0.8291431503335044,0.3263525305410122,0.10905840286054827,37620.0
Maine College of Art,ME,43.655743,-70.261015,13.0,35050.0,35050.0,0.5122,125.0,10.0,0.9259259259259259,0.793227296049256,0.5218150087260035,0.7443384982121574,35050.0
Saint Joseph's College of Maine,ME,43.826314,-70.483373,41.0,35650.0,35650.0,0.6266,370.0,12.0,0.9685863874345549,0.8004104669061057,0.32460732984293195,0.19249106078665076,35650.0
University of Southern Maine,ME,43.662863,-70.274247,13.0,8918.0,21294.0,0.3946,1312.0,61.0,0.9555717407137655,0.3719856336582863,0.7114601512507271,0.4052443384982122,15106.0
Thomas College,ME,44.524909,-69.664734,41.0,26900.0,26900.0,0.4878,251.0,9.0,0.9653846153846154,0.6459722934838379,0.5602094240837696,0.2431466030989273,26900.0
Unity College,ME,44.603165000000004,-69.33227600000001,43.0,29160.0,29160.0,0.6555,179.0,4.0,0.9781420765027322,0.6890713186249359,0.27515997673065734,0.07389749702026222,29160.0
University of Baltimore,MD,39.305834000000004,-76.616591,11.0,8958.0,21076.0,0.3674,621.0,41.0,0.9380664652567976,0.3673678809645972,0.7515997673065736,0.6430274135876043,15017.0
Bowie State University,MD,39.018184999999995,-76.759721,21.0,8234.0,18874.0,0.4214,154.0,12.0,0.927710843373494,0.310415597742432,0.6777196044211751,0.732419547079857,13554.0
Capitol Technology University,MD,39.046673,-76.85023100000001,21.0,25540.0,25540.0,0.4769,119.0,2.0,0.9834710743801653,0.6254489481785531,0.5782431646305992,0.030393325387365912,25540.0
Washington Adventist University,MD,38.986349,-77.000608,21.0,23900.0,23900.0,0.3664,181.0,8.0,0.9576719576719577,0.5977424320164186,0.7533449680046539,0.3736591179976162,23900.0
Coppin State University,MD,39.311258,-76.658687,11.0,8873.0,15144.0,0.2424,478.0,22.0,0.956,0.22986146741918934,0.898196625945317,0.398688915375447,12008.5
Frostburg State University,MD,39.650918,-78.93429300000001,23.0,9172.0,22892.0,0.5178,1098.0,37.0,0.9674008810572687,0.40379681888147767,0.5119255381035486,0.21156138259833135,16032.0
Goucher College,MD,39.410175,-76.59484300000001,13.0,44300.0,44300.0,0.7090000000000001,255.0,20.0,0.9272727272727272,0.900974858902001,0.2006980802792321,0.7359952324195471,44300.0
Hood College,MD,39.420631,-77.419049,13.0,39492.0,39492.0,0.6617,459.0,18.0,0.9622641509433962,0.8486403283735249,0.2646887725421757,0.3033373063170441,39492.0
Johns Hopkins University,MD,39.328977,-76.621595,11.0,53740.0,53740.0,0.9299,1731.0,115.0,0.937703141928494,0.9692149820420729,0.018033740546829553,0.6471990464839095,53740.0
Loyola University Maryland,MD,39.346358,-76.621872,11.0,48920.0,48920.0,0.7966,912.0,33.0,0.9650793650793651,0.9343252950230888,0.11052937754508435,0.25029797377830754,48920.0
University of Maryland Global Campus,MD,38.912706,-76.847584,21.0,7416.0,12336.0,0.1506,3678.0,331.0,0.9174357695185832,0.14725500256541815,0.9680046538685282,0.7938021454112039,9876.0
University of Maryland Baltimore,MD,39.286864,-76.623983,11.0,,,,461.0,11.0,0.9766949152542372,,,0.09177592371871275,
University of Maryland-Baltimore County,MD,39.256686,-76.711607,21.0,11778.0,26872.0,0.6839,1643.0,107.0,0.9388571428571428,0.5166752180605438,0.2356020942408377,0.6328963051251489,19325.0
University of Maryland-College Park,MD,38.988178000000005,-76.944721,21.0,10595.0,35216.0,0.8618,5036.0,268.0,0.94947209653092,0.5833760903027193,0.058173356602675974,0.49880810488676997,22905.5
Maryland Institute College of Art,MD,39.308792,-76.621033,11.0,48630.0,48630.0,0.6993,488.0,48.0,0.9104477611940298,0.9327860441251924,0.2140779522978476,0.8253873659117997,48630.0
University of Maryland Eastern Shore,MD,38.207386,-75.686852,31.0,8302.0,18508.0,0.3855,614.0,28.0,0.956386292834891,0.2996408414571575,0.7271669575334497,0.3915375446960667,13405.0
Morgan State University,MD,39.344161,-76.585565,11.0,7900.0,18167.0,0.3894,998.0,47.0,0.9550239234449761,0.2775782452539764,0.7213496218731821,0.4123957091775924,13033.5
Mount St. Mary's University,MD,39.681705,-77.351887,31.0,41350.0,41350.0,0.6421,463.0,15.0,0.9686192468619247,0.870702924576706,0.2931937172774869,0.19189511323003575,41350.0
Ner Israel Rabbinical College,MD,39.388021,-76.75352600000001,21.0,12400.0,12400.0,0.4857,7.0,5.0,0.5833333333333334,0.2452539763981529,0.5631180919139034,0.9910607866507747,12400.0
Notre Dame of Maryland University,MD,39.350612,-76.619739,11.0,36900.0,36900.0,0.5313,349.0,12.0,0.9667590027700831,0.8183683940482298,0.48807446189645143,0.22169249106078665,36900.0
Salisbury University,MD,38.34648,-75.604815,23.0,9824.0,19526.0,0.6849,1806.0,65.0,0.9652592196686264,0.35659312467932275,0.23327515997673065,0.24553039332538737,14675.0
St. Mary's College of Maryland,MD,38.190903999999996,-76.429097,23.0,14806.0,30568.0,0.7995,321.0,14.0,0.9582089552238806,0.5772190867111339,0.10936591041303083,0.3641239570917759,22687.0
St. John's College,MD,38.981598,-76.491359,21.0,53343.0,53343.0,0.7551,92.0,10.0,0.9019607843137255,0.965623396613648,0.14543339150668994,0.8557806912991657,53343.0
Towson University,MD,39.393622,-76.611164,13.0,9940.0,23208.0,0.7264,4093.0,147.0,0.9653301886792452,0.4176500769625449,0.179173938336242,0.24493444576877235,16574.0
United States Naval Academy,MD,38.980507,-76.48169200000001,21.0,,,0.9122,,,,,0.029086678301337987,,
Stevenson University,MD,39.421988,-76.70209200000001,41.0,36242.0,36242.0,0.5592,889.0,25.0,0.9726477024070022,0.8086198050282196,0.4444444444444444,0.13528009535160906,36242.0
Washington College,MD,39.217329,-76.06878,32.0,46978.0,46978.0,0.6826,322.0,13.0,0.9611940298507463,0.9220112878399179,0.23618382780686445,0.3182359952324195,46978.0
McDaniel College,MD,39.584231,-77.001992,23.0,43260.0,43260.0,0.6659,509.0,17.0,0.967680608365019,0.8891739353514623,0.2571262361838278,0.20441001191895114,43260.0
Hult International Business School,MA,42.369968,-71.070645,12.0,40650.0,40650.0,,13.0,9.0,0.5909090909090909,0.8609543355566958,,0.9904648390941597,40650.0
American International College,MA,42.112346,-72.558338,12.0,35680.0,35680.0,0.4669,673.0,23.0,0.9669540229885057,0.8014366341713699,0.5991855730075626,0.21752085816448152,35680.0
Amherst College,MA,42.372459,-72.518493,21.0,56426.0,56426.0,0.9329999999999999,234.0,15.0,0.9397590361445783,0.995895330938943,0.01687027341477603,0.6245530393325387,56426.0
Anna Maria College,MA,42.330542,-71.91896,41.0,37860.0,37860.0,0.4634,334.0,5.0,0.9852507374631269,0.8306824012314007,0.6061663757998836,0.02443384982121573,37860.0
Assumption College,MA,42.294226,-71.828991,12.0,40958.0,40958.0,0.7531,553.0,13.0,0.9770318021201413,0.8650590046177526,0.14776032577079698,0.08820023837902265,40958.0
Babson College,MA,42.297017,-71.264057,21.0,51104.0,51104.0,0.9147,434.0,29.0,0.937365010799136,0.9492047203694202,0.027341477603257707,0.6495828367103695,51104.0
Boston Baptist College,MA,42.254037,-71.1103,11.0,12600.0,12600.0,0.7,21.0,0.0,1.0,0.2529502308876347,0.21291448516579406,0.0005959475566150178,12600.0
Bay Path University,MA,42.055088,-72.583382,21.0,34225.0,34225.0,0.5935,452.0,14.0,0.9699570815450643,0.779887121600821,0.3769633507853403,0.17044100119189512,34225.0
Bay State College,MA,42.350966,-71.07161500000001,11.0,22320.0,22320.0,0.3819,359.0,21.0,0.9447368421052632,0.56900974858902,0.7300756253635835,0.5643623361144219,22320.0
Becker College,MA,42.269171,-71.811894,12.0,39200.0,39200.0,0.4368,180.0,11.0,0.9424083769633508,0.8450487429451,0.6532867946480512,0.5905840286054828,39200.0
Bentley University,MA,42.385995,-71.22283900000001,13.0,49880.0,49880.0,0.8882,1141.0,43.0,0.9636824324324325,0.9420215495125706,0.04013961605584642,0.27413587604290823,49880.0
Berklee College of Music,MA,42.346646,-71.089405,11.0,44140.0,44140.0,0.6357,686.0,60.0,0.9195710455764075,0.8994356080041047,0.30831878999418266,0.7812872467222884,44140.0
